Date,Open,High,Low,Close,Adj Close,Volume
2014-12-16,3.680000,4.240000,3.600000,4.000000,2.764926,6778300
2014-12-17,4.240000,4.650000,3.790000,4.630000,3.200402,5447600
2014-12-18,4.570000,4.670000,4.330000,4.370000,3.020681,6809300
2014-12-19,4.560000,4.840000,4.520000,4.820000,3.331736,2054600
2014-12-22,5.130000,5.140000,4.840000,4.910000,3.393946,2489200
2014-12-23,4.920000,4.920000,4.750000,4.850000,3.352472,2007900
2014-12-24,4.950000,5.050000,4.930000,5.040000,3.483807,908200
2014-12-26,5.090000,5.100000,4.950000,4.970000,3.435420,812900
2014-12-29,4.740000,4.770000,4.540000,4.590000,3.172752,1701600
2014-12-30,4.690000,4.790000,4.600000,4.780000,3.304086,1749000
2014-12-31,4.640000,4.650000,4.500000,4.530000,3.131279,1257700
2015-01-02,4.620000,4.650000,4.460000,4.560000,3.152015,692100
2015-01-05,4.510000,4.550000,4.440000,4.450000,3.075980,1736600
2015-01-06,4.420000,4.540000,4.350000,4.410000,3.048330,730600
2015-01-07,4.550000,4.680000,4.530000,4.650000,3.214226,538600
2015-01-08,4.900000,5.000000,4.850000,4.890000,3.380122,792600
2015-01-09,4.640000,4.750000,4.600000,4.710000,3.255700,1015300
2015-01-12,4.550000,4.640000,4.450000,4.560000,3.152015,1193500
2015-01-13,4.390000,4.500000,4.380000,4.500000,3.110542,2024700
2015-01-14,4.500000,4.700000,4.470000,4.670000,3.228051,1798300
2015-01-15,4.660000,4.680000,4.500000,4.510000,3.117454,1404900
2015-01-16,4.620000,4.700000,4.610000,4.670000,3.228051,1046600
2015-01-20,4.610000,4.630000,4.500000,4.520000,3.124366,1355100
2015-01-21,4.600000,4.640000,4.570000,4.600000,3.179664,670500
2015-01-22,4.730000,4.810000,4.710000,4.790000,3.310998,775700
2015-01-23,4.780000,4.860000,4.760000,4.830000,3.338648,1340300
2015-01-26,4.560000,4.600000,4.350000,4.420000,3.055243,2100200
2015-01-27,4.520000,4.610000,4.470000,4.560000,3.152015,697300
2015-01-28,4.470000,4.470000,4.410000,4.410000,3.048330,1108100
2015-01-29,4.380000,4.380000,4.240000,4.320000,2.986120,855400
